,No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定)
0,0,中東　直己,外野手,1981/10/05,34歳,9年,168cm,73kg,B型,右左,広島,1,400万円
1,0,上本　崇司,内野手,1990/08/22,25歳,3年,170cm,71kg,A型,右右,広島,930万円
2,2,東出　輝裕,内野手,1980/08/21,35歳,17年,171cm,75kg,A型,右左,福井,3,500万円
3,4,小窪　哲也,内野手,1985/04/12,30歳,8年,175cm,80kg,O型,右右,奈良,2,400万円
4,5,栗原　健太,内野手,1982/01/08,33歳,16年,183cm,97kg,O型,右右,山形,3,400万円
5,6,梵　英心,内野手,1980/10/11,35歳,10年,173cm,76kg,B型,右右,広島,10,000万円
6,7,堂林　翔太,内野手,1991/08/17,24歳,6年,183cm,83kg,A型,右右,愛知,2,000万円
7,9,丸　佳浩,外野手,1989/04/11,26歳,8年,177cm,90kg,AB型,右左,千葉,9,000万円
8,10,岩本　貴裕,外野手,1986/04/18,29歳,7年,182cm,96kg,A型,左左,広島,1,850万円
9,11,福井　優也,投手,1988/02/08,27歳,5年,178cm,80kg,A型,右右,岡山,2,200万円
10,12,九里　亜蓮,投手,1991/09/01,24歳,2年,187cm,92kg,A型,右右,鳥取,1,600万円
11,13,グスマン,内野手,1984/06/14,31歳,1年,185cm,91kg,A型,右右,ベネズエラ,10,800万円
12,14,大瀬良　大地,投手,1991/06/17,24歳,2年,187cm,93kg,AB型,右右,長崎,3,500万円
13,15,黒田　博樹,投手,1975/02/10,40歳,12年,185cm,93kg,B型,右右,大阪,40,000万円
14,16,今村　猛,投手,1991/04/17,24歳,6年,183cm,95kg,B型,右右,長崎,4,000万円
15,18,前田　健太,投手,1988/04/11,27歳,9年,182cm,81kg,A型,右右,大阪,30,000万円
16,19,野村　祐輔,投手,1989/06/24,26歳,4年,177cm,82kg,AB型,右右,岡山,5,800万円
17,20,永川　勝浩,投手,1980/12/14,35歳,13年,188cm,98kg,O型,右右,広島,6,000万円
18,21,篠田　純平,投手,1985/04/20,30歳,8年,187cm,86kg,A型,左左,神奈川,1,500万円
19,22,中村　恭平,投手,1989/03/22,26歳,5年,185cm,82kg,O型,左左,福岡,900万円
20,23,薮田　和樹,投手,1992/08/07,23歳,1年,188cm,84kg,B型,右右,広島,1,000万円
21,24,河内　貴哉,投手,1982/01/06,33歳,16年,188cm,94kg,O型,左左,京都,1,000万円
22,25,高橋　大樹,外野手,1994/05/11,21歳,3年,181cm,85kg,O型,右右,大阪,700万円
